Time,Raw_AccX,Denoised_AccX,Raw_AccY,Denoised_AccY,Raw_AccZ,Denoised_AccZ
0.0,0.013916,-0.000645931901101811,-0.0168457,0.0021552549489939773,0.8603516,0.0003572932356605696
0.103,0.0126953,-0.0005671536891502494,-0.0192871,0.001848746406419903,0.8591309,-0.00014024979690910577
0.208,0.0151367,-0.0004700739022867786,-0.0183105,0.001539200651405507,0.8637696,-0.0005057119348359431
0.311,0.0126953,-0.00035469254051139854,-0.0227051,0.0012266176839507885,0.8635254,-0.0007390931781199421
0.416,0.0163574,-0.0002210096038241092,-0.0217285,0.0009109975040557483,0.8498536,-0.0008403935267611033
0.519,0.0178223,-6.902509222491057e-05,-0.0187988,0.0005923401117203866,0.862793,-0.000809612980759429
0.624,0.0144043,0.00030091949661480486,-0.0239258,0.00013404183928591214,0.8554688,-0.0006684023158162092
0.727,0.0161133,0.0005782854320875351,-0.0244141,-0.00027318891066810934,0.864502,-0.00028803639264192004
0.831,0.0151367,0.0006841618339522471,-0.0224609,-0.0005736444065219943,0.8635254,0.00024260660140469287
0.936,0.0161133,0.0006068770004302344,-0.0212402,-0.0007070524481730055,0.8632813,0.0006829509244438411
1.039,0.0219727,0.00029593866051750423,-0.020752,-0.0007802289653888164,0.8649903,0.001031748684881828
1.144,0.0107422,-0.00010482706809782823,-0.0161133,-0.0008580448242311408,0.8581543,0.001157874834789558
1.247,0.0146484,-0.000474192178386022,-0.0251465,-0.0008970069216129797,0.861084,0.000931557845274265
1.352,0.012207,-0.0007007898137109944,-0.0197754,-0.0009044222022218122,0.8649903,0.00038391223113845
1.455,0.0109863,-0.0007536439209292357,-0.0239258,-0.0008811708115141845,0.8571778,-0.00021583398559505773
1.559,0.0158691,-0.0005315638443992434,-0.0185547,-0.0007980584516514865,0.8500977,-0.0008054953332176114
1.663,0.019043,-0.00022754484516154317,-0.0217285,-0.000605562622732019,0.8640137,-0.0012309316209048464
1.767,0.015625,-5.042175832879153e-05,-0.0236816,-0.00041295093922417677,0.8552247,-0.0013723643687702047
1.872,0.0178223,2.1060196824347014e-06,-0.0200195,-0.00027522442603914544,0.8591309,-0.0012874425672985412
1.975,0.0134277,-3.633058543835255e-05,-0.0192871,-0.0002459446960104565,0.8649903,-0.0010481673786050312
2.08,0.0075684,-0.0002464670231453771,-0.0166016,-0.00038005175033913486,0.8659668,-0.0005427768443479559
2.183,0.0214844,-0.0005098677683319627,-0.0241699,-0.0006165714132286119,0.8574219,-0.00011863561716377011
2.288,0.0100098,-0.000706521507188209,-0.0253906,-0.0007827091980949186,0.8642579,0.00016517972737167388
2.391,0.0166016,-0.0008386139158909035,-0.0246582,-0.0008098583598206944,0.8564454,0.0003546982468163666
2.495,0.0197754,-0.0007923003804524266,-0.0175781,-0.000724549390687659,0.8649903,0.0004343402076310316
2.599,0.0109863,-0.0004110392732862246,-0.0180664,-0.0005196297048019919,0.8649903,0.00038903168034430197
2.703,0.0141602,4.112264958112221e-05,-0.0214844,-0.0001280753200955258,0.8552247,0.0003463806156925387
2.808,0.0183105,0.00045723705027611214,-0.0205078,0.00024992556620594304,0.8515625,0.00032865314994841104
2.911,0.0166016,0.0008594304131123022,-0.013916,0.0005634397498562593,0.8603516,0.00035345974934993397
3.016,0.0178223,0.001198266491130219,-0.0209961,0.0007895531298958663,0.86792,0.00048466405302844827
3.119,0.0214844,0.0013782305007448072,-0.0219727,0.0009139753694640974,0.8559571,0.0006842571040482982
3.223,0.0107422,0.0013787537030285888,-0.0166016,0.001046196602338731,0.8664551,0.0006792300260444217
3.327,0.0146484,0.0011852236148730193,-0.0195312,0.0012728948730576504,0.859375,0.0005975462210962497
3.431,0.017334,0.0007898719993322457,-0.0212402,0.0015536508552241532,0.8596192,0.0003965089729664143
3.535,0.0085449,0.0003800949547027978,-0.019043,0.0018912042679070703,0.8615723,4.1867364232311207e-05
3.639,0.0197754,4.888961252682559e-05,-0.0146484,0.0021922777554778004,0.8598633,-0.0002460814634815657
3.744,0.0117188,-0.0002739118315061502,-0.0187988,0.002414912866113844,0.8554688,-0.0003852151673231695
3.847,0.0151367,-0.0005403857175290652,-0.0170898,0.0024372588542346226,0.8562012,-0.00027666218424234165
3.952,0.019043,-0.0007787764055198804,-0.0166016,0.0022442137394545858,0.8620606,-1.454527867564299e-05
4.055,0.0136719,-0.0009402801467421579,-0.0197754,0.0019509917497882673,0.8674317,0.0003451711163028864
4.159,0.0117188,-0.0010239326296124297,-0.0266113,0.001644372637783438,0.8623047,0.0006488652446272942
4.263,0.0168457,-0.0010322131852621582,-0.0200195,0.0014061203021912753,0.8630372,0.0007679522212197489
4.367,0.0124512,-0.0009345200345882831,-0.0195312,0.0013597945525307723,0.8564454,0.000801004321009345
4.471,0.0178223,-0.0007265117398608358,-0.0197754,0.001466135183204805,0.8500977,0.0005460287685608396
4.575,0.0107422,-0.0004274475805373945,-0.019043,0.0016614721493946197,0.861084,7.633308492873794e-05
4.68,0.0151367,-6.833897437278696e-05,-0.013916,0.0017635886271735286,0.8623047,-0.0005781560400780155
4.783,0.0236816,0.00036430753330024784,-0.0180664,0.0017126213766023432,0.8649903,-0.001407918853047986
4.887,0.0187988,0.000764642796069481,-0.0209961,0.0014734408616757617,0.8532715,-0.002293546664318155
4.991,0.0170898,0.0010293951872469647,-0.0246582,0.0010135863969233303,0.8474122,-0.003016969405866627
5.095,0.0168457,0.0011690078003319289,-0.0258789,0.0005306741855142549,0.8508301,-0.0034540502370811604
5.199,0.0134277,0.001206488850399824,-0.0209961,6.528631165017512e-05,0.8642579,-0.003559347089156298
5.303,0.015625,0.0011140311099788263,-0.0227051,-0.0003338864573961932,0.8654786,-0.0032469019486846646
5.407,0.0170898,0.0009912572540469765,-0.019043,-0.000689154224974526,0.8557129,-0.0024472317560699885
5.511,0.0151367,0.0008287110253289865,-0.0244141,-0.0008647140723284213,0.8576661,-0.0015086157407090167
5.616,0.013916,0.0005997298670650502,-0.0222168,-0.000991975809826202,0.8706055,-0.0004670570954718137
5.719,0.0214844,0.0003827564955233257,-0.0200195,-0.0010801281783916362,0.8618165,0.0005623638423789263
5.823,0.0085449,0.0001745468499676094,-0.0227051,-0.001136246024940255,0.8623047,0.0009932366773145434
5.927,0.0151367,3.077911856914094e-05,-0.0270996,-0.0011388654569537363,0.8676758,0.0008904688568446874
6.031,0.015625,7.176408396496797e-05,-0.019043,-0.001136579451795642,0.8483887,0.000575796024773089
6.135,0.0126953,0.0002717319324261154,-0.0170898,-0.001101376826195442,0.8547364,6.847008499281354e-05
6.239,0.0244141,0.0005918702254949559,-0.0249023,-0.0011569698539897915,0.8625489,-0.0005838526145021507
6.343,0.0178223,0.0009343330408897681,-0.0205078,-0.0012542599880143186,0.8618165,-0.0012267031520146656
6.447,0.0148926,0.0012710997577046828,-0.0246582,-0.0014728141655330931,0.8498536,-0.001661144489485757
6.55,0.0214844,0.0013956442534057937,-0.0209961,-0.001560129844246749,0.8605957,-0.001870976952549171
6.655,0.0166016,0.0014033042519713114,-0.0236816,-0.0015926260109949237,0.859375,-0.0017818082170823525
6.759,0.0100098,0.00130354331397052,-0.0239258,-0.001563935826004414,0.8601075,-0.0014343304852224101
6.863,0.0180664,0.001042199027688982,-0.013916,-0.0015186680374284288,0.8588868,-0.0011190757371812373
